SR_PCODE,SR_NAME,SR_MM_NAME,TS_PCODE,TS_NAME,TS_MM_NAME,POP,PHYSNB,PHYSR,NURSNB,NURSR,HSNB,HSR
MMR010,Mandalay,မန္တလေးတိုင်းဒေသကြီး,MMR010023,Yamethin,ရမည်းသင်း,253940,37,1:7139,66,1:4002,7,1:37100
MMR010,Mandalay,မန္တလေးတိုင်းဒေသကြီး,MMR010024,Pyawbwe,ပျော်ဘွယ်,272838,13,1:20987,26,1:10494,7,1:1038976
MMR010,Mandalay,မန္တလေးတိုင်းဒေသကြီး,MMR010028,Meiktila,မိတ္ထီလာ,299943,94,1:3191,134,1:2238,14,1:21424
MMR010,Mandalay,မန္တလေးတိုင်းဒေသကြီး,MMR010029,Mahlaing,မလှိုင်,175373,12,1:14614,21,1:8351,6,1:29229
MMR010,Mandalay,မန္တလေးတိုင်းဒေသကြီး,MMR010030,Thazi,သာစည်,198449,12,1:16649,20,1:9989,5,1:39958
MMR010,Mandalay,မန္တလေးတိုင်းဒေသကြီး,MMR010031,Wundwin,ဝမ်းတွင်း,235575,12,1:19631,23,1:10242,6,1:39262
MMR011,Mon,မွန်ပြည်နယ်,MMR011001,Mawlamyine,မော်လမြိုင်,258003,38,1:6789,27,1:9556,6,1:43001
MMR011,Mon,မွန်ပြည်နယ်,MMR011002,Kyaikmaraw,ကျိုက္မရော,222091,5,1:38,13,1:18,7,1:33
MMR011,Mon,မွန်ပြည်နယ်,MMR011003,Chaungzon,ချောင်းဆုံ,unknown,9,1:17932,39,1:4138,8,1:20173
MMR011,Mon,မွန်ပြည်နယ်,MMR011004,Thanbyuzayat,သံဖြူဇရပ်,160538,16,1:10033,41,1:3915,6,1:26756
MMR011,Mon,မွန်ပြည်နယ်,MMR011005,Mudon,မုဒုံ,185012,21,1:8810,29,1:6379,9,1:2056
MMR011,Mon,မွန်ပြည်နယ်,MMR011006,Ye,ရေး,265142,1,1:265142,2,1:132571,7,1:37877
MMR011,Mon,မွန်ပြည်နယ်,MMR011007,Thaton,သထုံ,233867,18,1:12993,89,1:2628,5,1:46773
MMR011,Mon,မွန်ပြည်နယ်,MMR011008,Paung,ပေါင်,unknown,10,1:26543,34,5.4624999999999995,11,1:24130
MMR011,Mon,မွန်ပြည်နယ်,MMR011009,Kyaikto,ကျိုက်ထို,156091,8,1:22011,20,1:88046,20,1:17609
MMR011,Mon,မွန်ပြည်နယ်,MMR011010,Bilin,ဘီးလင်း,187465,10,1:20419,29,1:7041,10,1:20419
MMR012,Rakhine,ရခိုင်ပြည်နယ်,MMR012001,Sittwe,စစ်တွေ,229376,70,1:3277,208,1:1103,9,1:25486
MMR012,Rakhine,ရခိုင်ပြည်နယ်,MMR012002,Ponnagyun,ပုဏ္ဏားကျွန်း,137845,6,1:22974,42,1:3282,5,1:27569
MMR012,Rakhine,ရခိုင်ပြည်နယ်,MMR012003,Mrauk-U,မြောက်ဦး,232434,7,1:33150,40,1:660790,8,1:29007
MMR012,Rakhine,ရခိုင်ပြည်နယ်,MMR012004,Kyauktaw,ကျောက်တော်,217867,5,1:43274,14,1:15458,6,1:36061
MMR012,Rakhine,ရခိုင်ပြည်နယ်,MMR012005,Minbya,မင်းပြား,216234,7,1:30890,32,1:6757,7,1:30890
MMR012,Rakhine,ရခိုင်ပြည်နယ်,MMR012006,Myebon,မြေပုံ,143886,5,1:28777,19,1:7573,8,1:17985
MMR012,Rakhine,ရခိုင်ပြည်နယ်,MMR012007,Pauktaw,ပေါက်တော,187000,4,1:46750,12,1:15583,6,1:31166
MMR012,Rakhine,ရခိုင်ပြည်နယ်,MMR012008,Rathedaung,ရသေ့တောင်,136716,4,1:34179,15,1:9114,6,1:22786
MMR012,Rakhine,ရခိုင်ပြည်နယ်,MMR012009,Maungdaw,မောင်တော,528812,11,1:48074,31,1:17059,5,1:105762
MMR012,Rakhine,ရခိုင်ပြည်နယ်,MMR012010,Buthidaung,ဘူးသီးတောင်,308144,7,1:44020,26,1:11851,7,1:44020
MMR012,Rakhine,ရခိုင်ပြည်နယ်,MMR012011,Kyaukpyu,ကျောက်ဖြူ,167025,22,1:7592,51,1:3275,6,1:27837
MMR012,Rakhine,ရခိုင်ပြည်နယ်,MMR012012,Munaung,မာန်အောင်,60873,5,1:12174,35,1:1739,7,1:8696
MMR012,Rakhine,ရခိုင်ပြည်နယ်,MMR012013,Ramree,ရမ်းဗြဲ,98270,8,1:12284,28,1:3510,7,1:14040
MMR012,Rakhine,ရခိုင်ပြည်နယ်,MMR012014,Ann,အမ်း,115909,12,1:9659,36,1:3219,6,1:19318
MMR012,Rakhine,ရခိုင်ပြည်နယ်,MMR012015,Thandwe,သံတွဲ,116465,28,1:4143,49,1:2368,11,1:10546
MMR012,Rakhine,ရခိုင်ပြည်နယ်,MMR012016,Toungup,တောင်ကုတ်,149332,10,1:14880,66,1:2255,5,1:29760
MMR012,Rakhine,ရခိုင်ပြည်နယ်,MMR012017,Gwa,ဂွ,63921,5,1:12784,55,1:1162,5,1:12784
MMR013,Yangon,ရန်ကုန်ဒေသကြီး,MMR013001,Insein,အင်းစိန်,259771,6,1:43295,6,1:43295,2,1:129885
MMR013,Yangon,ရန်ကုန်ဒေသကြီး,MMR013002,Mingaladon,မင်္ဂလာဒုံ,255807,3,1:85269,2,1:1279035,3,1:85269
MMR013,Yangon,ရန်ကုန်ဒေသကြီး,MMR013003,Hmawbi,မှော်ဘီ,191020,7,1:27288,21,1:9096,5,1:38204
MMR013,Yangon,ရန်ကုန်ဒေသကြီး,MMR013004,Hlegu,လှည်းကူး,233392,15,1:1530,80,1:2870,12,1:2296
MMR013,Yangon,ရန်ကုန်ဒေသကြီး,MMR013005,Taikkyi,တိုက်ကြီး,267597,9,1:29733,15,1:17839,6,1:44599
MMR013,Yangon,ရန်ကုန်ဒေသကြီး,MMR013006,Htantabin,ထန်းတပင်,131366,5,1:2627,10,1:1314,4,1:32841
MMR013,Yangon,ရန်ကုန်ဒေသကြီး,MMR013007,Shwepyithar,ရွှေပြည်သာ,273721,4,1:68430,13,1:21055,2,1:136860
MMR013,Yangon,ရန်ကုန်ဒေသကြီး,MMR013008,Hlaingtharya,လှိုင်သာယာ,414209,11,1:37655,22,1:18827,1,1:414209
MMR013,Yangon,ရန်ကုန်ဒေသကြီး,MMR013009,Thingangyun,သင်္ဃန်းကျွန်း,202140,8,1:25267,3,1:67380,1,1:202140
MMR013,Yangon,ရန်ကုန်ဒေသကြီး,MMR013010,Yankin,ရန်ကင်း,66949,8,1:8369,4,1:16737,2,1:33475
MMR013,Yangon,ရန်ကုန်ဒေသကြီး,MMR013011,South Okkalapa,တောင်ဥက္ကလာပ,154068,26,1:5926,39,1:3950,3,1:51356
MMR013,Yangon,ရန်ကုန်ဒေသကြီး,MMR013012,North Okkalapa,မြောက်ဥက္ကလာပ,282530,25,1:56506,8,1:35316,2,1:141265
MMR013,Yangon,ရန်ကုန်ဒေသကြီး,MMR013013,Thaketa,သာကေတ,220599,9,1:24511,22,1:10027,0,0
MMR013,Yangon,ရန်ကုန်ဒေသကြီး,MMR013014,Dawbon,ဒေါပုံ,74979,2,1:37489,2,1:37489,2,1:37489
MMR013,Yangon,ရန်ကုန်ဒေသကြီး,MMR013015,Tamwe,တာမွေ,166782,2,1:82,11,1:15,1,1:165
MMR013,Yangon,ရန်ကုန်ဒေသကြီး,MMR013016,Pazundaung,ပုဇွန်တောင်,44779,5,1:8957,7,1:6398,3,1:14928
MMR013,Yangon,ရန်ကုန်ဒေသကြီး,MMR013017,Botahtaung,ဗိုလ်တထောင်,39907,1,1:39956,1,1:39956,3,1:13305
MMR013,Yangon,ရန်ကုန်ဒေသကြီး,MMR013018,Dagon Myothit (South),ဒဂုံမြို့သစ်တောင်ပိုင်း,320099,8,1:40012,16,1:20006,3,1:106699
MMR013,Yangon,ရန်ကုန်ဒေသကြီး,MMR013019,Dagon Myothit (North),ဒဂုံမြို့သစ်မြောက်ပိုင်း,195222,6,1:32533,14,1:13943,0,0
MMR013,Yangon,ရန်ကုန်ဒေသကြီး,MMR013020,Dagon Myothit (East),ဒဂုံမြို့သစ်အရှေ့ပိုင်း,156336,8,1:19542,22,1:7106,1,1:156336
MMR013,Yangon,ရန်ကုန်ဒေသကြီး,MMR013021,Dagon Myothit (Seikkan),ဒဂုံမြို့သစ်ဆိပ်ကမ်း,172379,2,1:86189,24,1:7183,2,1:86189
MMR013,Yangon,ရန်ကုန်ဒေသကြီး,MMR013022,Mingalartaungnyunt,မင်္ဂလာတောင်ညွန့်,131729,4,1:32932,4,1:32932,1,1:131729
MMR013,Yangon,ရန်ကုန်ဒေသကြီး,MMR013023,Thanlyin,သန်လျှင်,242107,58,1:4174,139,1:1741,5,1:48421
MMR013,Yangon,ရန်ကုန်ဒေသကြီး,MMR013024,Kyauktan,ကျောက်တန်း,165937,13,1:12764,23,1:7214,9,1:18649
MMR013,Yangon,ရန်ကုန်ဒေသကြီး,MMR013025,Thongwa,သုံးခွ,163165,7,1:23162,22,1:7370,5,1:32428
MMR013,Yangon,ရန်ကုန်ဒေသကြီး,MMR013026,Kayan,ခရမ်း,166395,14,1:12244,29,1:5910,7,1:24488
MMR013,Yangon,ရန်ကုန်ဒေသကြီး,MMR013027,Twantay,တွံတေး,227953,7,1:32564,18,1:12664,6,1:37992
MMR013,Yangon,ရန်ကုန်ဒေသကြီး,MMR013028,Kawhmu,ကော့မှုး,131732,7,1:18818,19,1:6933,5,1:26346
MMR013,Yangon,ရန်ကုန်ဒေသကြီး,MMR013029,Kungyangon,ကွမ်းခြံကုန်း,120948,9,1:1344,11,1:10995,5,1:24089
MMR013,Yangon,ရန်ကုန်ဒေသကြီး,MMR013030,Dala,ဒလ,153397,6,1:25760,18,1:8586,2,1:77281
MMR013,Yangon,ရန်ကုန်ဒေသကြီး,MMR013031,Seikgyikanaungto,ဆိပ်ကြီးခနောင်တို,33944,4,1:4849,6,1:5657,0,0
MMR013,Yangon,ရန်ကုန်ဒေသကြီး,MMR013032,Cocokyun,ကိုကိုးကျွန်း,1115,1,1:1115,2,1:557,0,0
MMR013,Yangon,ရန်ကုန်ဒေသကြီး,MMR013033,Kyauktada,ကျောက်တံတား,27815,4,1:6953,5,1:5563,1,1:27815
MMR013,Yangon,ရန်ကုန်ဒေသကြီး,MMR013034,Pabedan,ပန်းပဲတန်း,30386,3,1:10128,5,1:6077,1,1:30386
MMR013,Yangon,ရန်ကုန်ဒေသကြီး,MMR013035,Lanmadaw,လမ်းမတော်,37238,5,1:7443,2,1:8609,1,1:04223
MMR013,Yangon,ရန်ကုန်ဒေသကြီး,MMR013036,Latha,လသာ,27341,4,1:6835,2,1:13670,2,1:13670
MMR013,Yangon,ရန်ကုန်ဒေသကြီး,MMR013037,Ahlone,အလုံ,54843,2,1:27422,6,1:9141,2,1:27422
MMR013,Yangon,ရန်ကုန်ဒေသကြီး,MMR013038,Kyeemyindaing,ကြည့်မြင်တိုင်,101287,6,1:16881,13,1:7791,1,1:101287
MMR013,Yangon,ရန်ကုန်ဒေသကြီး,MMR013039,Sanchaung,စမ်းချောင်း,86081,6,1:43040,2,1:43040,2,1:43040
MMR013,Yangon,ရန်ကုန်ဒေသကြီး,MMR013040,Hlaing,လှိုင်,125060,2,1:62322,2,1:62322,2,1:124645
MMR013,Yangon,ရန်ကုန်ဒေသကြီး,MMR013041,Kamaryut,ကမာရွတ်,unknown,3,1:26209,3,1:26209,0,0
MMR013,Yangon,ရန်ကုန်ဒေသကြီး,MMR013042,Mayangone,မရမ်းကုန်း,189821,3,1:63274,7,1:27117,1,1:189821
MMR013,Yangon,ရန်ကုန်ဒေသကြီး,MMR013043,Dagon,ဒဂုံ,25211,4,4:25211,2,2:25211,1,1:25211
MMR013,Yangon,ရန်ကုန်ဒေသကြီး,MMR013044,Bahan,ဗဟန်း,unknown,unknown,unknown,unknown,unknown,unknown,unknown
MMR013,Yangon,ရန်ကုန်ဒေသကြီး,MMR013045,Seikkan,ဆိပ်ကမ်း,1546,1,1:1546,1,1:1546,0,0
MMR222,Shan,ရှမ်းပြည်နယ်,MMR014001,Taunggyi,တောင်ကြီး,385930,11,1:35084,21,1:18377,4,1:96482
MMR222,Shan,ရှမ်းပြည်နယ်,MMR014002,Nyaungshwe,ညောင်ရွှေ,172524,14,1:12323,46,1:3750,6,1:28754
MMR222,Shan,ရှမ်းပြည်နယ်,MMR014003,Hopong,ဟိုပုံး,103360,9,1:11484,20,1:5168,6,1:17227
MMR222,Shan,ရှမ်းပြည်နယ်,MMR014004,Hsihseng,ဆီဆိုင်,138925,6,1:23154,30,1:4630,6,1:23154
MMR222,Shan,ရှမ်းပြည်နယ်,MMR014005,Kalaw,ကလော,162094,19,1:8531,66,1:2456,5,1:32419
MMR222,Shan,ရှမ်းပြည်နယ်,MMR014006,Pindaya,ပင်းတယ,82257,10,1:8225,34,1:2419,2,1:41128
MMR222,Shan,ရှမ်းပြည်နယ်,MMR014007,Ywangan,ရွာငံ,unknown,4,1:20832,16,1:5208,6,1:13888
MMR222,Shan,ရှမ်းပြည်နယ်,MMR014008,Lawksawk,ရပ်စောက်,147015,12,1:12251,32,1:4594,3,1:49005
MMR222,Shan,ရှမ်းပြည်နယ်,MMR014009,Pinlaung,ပင်လောင်း,181513,8,1:22689,27,1:6722,5,1:36302
MMR222,Shan,ရှမ်းပြည်နယ်,MMR014010,Pekon,ဖယ်ခုံ,105117,7,1:15017,29,1:3625,6,1:17519
MMR222,Shan,ရှမ်းပြည်နယ်,MMR014011,Loilen,လွိုင်လင်,123635,32,1:3863,125,1:989,4,1:30908
MMR222,Shan,ရှမ်းပြည်နယ်,MMR014012,Laihka,လဲချား,49470,3,1:16490,15,1:3298,2,1:24735
MMR222,Shan,ရှမ်းပြည်နယ်,MMR014013,Nansang,နမ့်စန်,78832,2,1:39416,14,1:5630,6,1:1313
MMR222,Shan,ရှမ်းပြည်နယ်,MMR014014,Kunhing,ကွန်ဟိန်း,52250,4,1:13063,20,1:2613,4,1:11069
MMR222,Shan,ရှမ်းပြည်နယ်,MMR014015,Kyethi,ကျေးသီး,75968,3,3:75968,20,20:75968,3,3:75968
MMR222,Shan,ရှမ်းပြည်နယ်,MMR014016,Mongkaing,မိုင်းကိုင်,72751,2,1:3638,13,1:5596,3,1:24250
MMR222,Shan,ရှမ်းပြည်နယ်,MMR014017,Monghsu,မိုင်းရှုး,71591,3,1:23863,13,1:5507,3,1:23108
MMR222,Shan,ရှမ်းပြည်နယ်,MMR014018,Langkho,လင်းခေး,46740,5,1:9328,23,1:2032,3,1:15580
MMR222,Shan,ရှမ်းပြည်နယ်,MMR014019,Mongnai,မိုးနဲ,40796,5,1:34345,12,1:3400,2,1:20398
MMR222,Shan,ရှမ်းပြည်နယ်,MMR014020,Mawkmai,မောက်မယ်,35381,4,1:88,11,1:32,3,1:12
MMR222,Shan,ရှမ်းပြည်နယ်,MMR014021,Mongpan,မိုင်းပန်,16311,3,1:5437,8,1:2039,4,1:4078
MMR222,Shan,ရှမ်းပြည်နယ်,MMR015001,Lashio,လားရှိုး,287969,8,1:35996,18,1:15998,7,1:41138
MMR222,Shan,ရှမ်းပြည်နယ်,MMR015002,Hseni,သိန်းနီ,54065,5,1:10813,20,1:2703,3,1:18021
MMR222,Shan,ရှမ်းပြည်နယ်,MMR015003,Mongyai,မိုင်းရယ်,59457,2,1:29729,14,1:4247,3,1:19819
MMR222,Shan,ရှမ်းပြည်နယ်,MMR015004,Tangyan,တန့်ယန်း,170748,4,1:4268,25,1:6829,4,1:4268
MMR222,Shan,ရှမ်းပြည်နယ်,MMR015005,Pangsang,ပန်ဆန်း,unknown,unknown,unknown,unknown,unknown,unknown,unknown
MMR222,Shan,ရှမ်းပြည်နယ်,MMR015006,Narphan,နားဖန့်,unknown,unknown,unknown,unknown,unknown,unknown,unknown
MMR222,Shan,ရှမ်းပြည်နယ်,MMR015007,Pangwaun,ပန်ဝိုင်း,unknown,unknown,unknown,unknown,unknown,unknown,unknown
MMR222,Shan,ရှမ်းပြည်နယ်,MMR015008,Mongmao,မိုင်းမော,unknown,unknown,unknown,unknown,unknown,unknown,unknown
MMR222,Shan,ရှမ်းပြည်နယ်,MMR015009,Muse,မူဆယ်,154267,21,1:7346,82,1:1881,4,1:51422
MMR222,Shan,ရှမ်းပြည်နယ်,MMR015010,Namhkan,နမ့်ခမ်း,115213,12,1:9568,59,1:1946,3,1:38274
MMR222,Shan,ရှမ်းပြည်နယ်,MMR015011,Kutkai,ကွတ်ခိုင်,179747,9,1:29102,37,1:5402,9,1:21827
MMR222,Shan,ရှမ်းပြည်နယ်,MMR015012,Kyaukme,ကျောက်မဲ,178595,20,1:8847,51,1:3364,4,1:44236
MMR222,Shan,ရှမ်းပြည်နယ်,MMR015013,Nawnghkio,နောင်ချို,123173,8,1:17730,17,1:8330,8,1:17703
MMR222,Shan,ရှမ်းပြည်နယ်,MMR015014,Hsipaw,သီပေါ,177840,20,1:3670,62,1:1184,5,1:20889
MMR222,Shan,ရှမ်းပြည်နယ်,MMR015015,Namtu,နမ္မတူ,51613,4,1:12903,35,1:1475,3,1:7204
MMR222,Shan,ရှမ်းပြည်နယ်,MMR015016,Namhsan,နမ့်ဆန်,78832,2,1:39416,14,1:5630,6,1:1313
MMR222,Shan,ရှမ်းပြည်နယ်,MMR015017,Mongmit,မိုးမိတ်,63711,4,1:15927,22,1:2895,3,1:21237
MMR222,Shan,ရှမ်းပြည်နယ်,MMR015018,Mabein,မဘိမ်း,40241,3,1:13413,21,1:1916,5,1:8048
MMR222,Shan,ရှမ်းပြည်နယ်,MMR015019,Manton,မန်တုန်,34865,2,1:17432,10,1:3486,0,0
MMR222,Shan,ရှမ်းပြည်နယ်,MMR015020,Kunlong,ကွမ်းလုံ,57489,4,1:11490,18,1:3192,3,1:19151
MMR222,Shan,ရှမ်းပြည်နယ်,MMR015021,Hopang,ဟိုပန်,23426,1,1:23426,22,1:1064,1,1:23426
MMR222,Shan,ရှမ်းပြည်နယ်,MMR015022,Laukkaing,လောက်ကိုင်,55185,4,1:13796,23,1:2399,2,1:27592
MMR222,Shan,ရှမ်းပြည်နယ်,MMR015023,Konkyan,ကုန်းကြမ်း,42368,1,1:42203,9,1:4707,0,0
MMR222,Shan,ရှမ်းပြည်နယ်,MMR015024,Matman,မက်မန်း,17911,2,1:8955,20,1:895,0,0
MMR222,Shan,ရှမ်းပြည်နယ်,MMR016001,Kengtung,ကျိုင်းတုံ,169730,7,1:24247,38,1:4466,4,1:42432
MMR222,Shan,ရှမ်းပြည်နယ်,MMR016002,Mongkhet,မိုင်းခတ်,45330,2,1:22665,13,1:3487,2,1::22665
MMR222,Shan,ရှမ်းပြည်နယ်,MMR016003,Mongyang,မိုင်းယန်း,49537,3,1:16501,20,1:2476,2,1:24768
MMR222,Shan,ရှမ်းပြည်နယ်,MMR016005,Mongla,မိုင်းလား,unknown,unknown,unknown,unknown,unknown,unknown,unknown
MMR222,Shan,ရှမ်းပြည်နယ်,MMR016006,Monghsat,မိုင်းဆတ်,84368,5,1:16873,25,1:3568,4,1:22303
MMR222,Shan,ရှမ်းပြည်နယ်,MMR016007,Mongping,မိုင်းပျင်း,62312,2,1:31156,12,1:5192,0,0
MMR222,Shan,ရှမ်းပြည်နယ်,MMR016008,Mongton,မိုင်းတုံ,55142,2,1:27571,46,1:1199,3,1:18381
MMR222,Shan,ရှမ်းပြည်နယ်,MMR016009,Tachileik,တာချီလိတ်,140108,22,1:6365,94,1:1489,9,1:15560
MMR222,Shan,ရှမ်းပြည်နယ်,MMR016010,Monghpyak,မိုင်းဖြတ်,27504,1,1:27504,11,1:2500,2,1:13752
MMR222,Shan,ရှမ်းပြည်နယ်,MMR016011,Mongyawng,မိုင်းယောင်း,59457,2,1:29729,14,1:4247,3,1:19819
MMR017,Ayeyarwady,ဧရာဝတီတိုင်းဒေသကြီး,MMR017001,Pathein,ပုသိမ်,337405,11,1:30673,30,1:11246,8,1:42175
MMR017,Ayeyarwady,ဧရာဝတီတိုင်းဒေသကြီး,MMR017002,Kangyidaunt,ကန်ကြီးထောင့်,176856,7,1:25265,18,1:9825,7,1:25265
MMR017,Ayeyarwady,ဧရာဝတီတိုင်းဒေသကြီး,MMR017003,Thabaung,သာပေါင်း,158481,5,1:30756,12,1:12815,5,1:30756
MMR017,Ayeyarwady,ဧရာဝတီတိုင်းဒေသကြီး,MMR017004,Ngapudaw,ငပုတော,327272,10,1:327272,43,1:7611,14,1:23376
MMR017,Ayeyarwady,ဧရာဝတီတိုင်းဒေသကြီး,MMR017005,Kyonpyaw,ကျုံပျော်,252400,16,1:16037,46,1:7345,7,1:36657
MMR017,Ayeyarwady,ဧရာဝတီတိုင်းဒေသကြီး,MMR017006,Yegyi,ရေကြည်,197266,18,1:10959,48,1:4109,9,1:21918
MMR017,Ayeyarwady,ဧရာဝတီတိုင်းဒေသကြီး,MMR017007,Kyaunggon,ကျောင်းကုန်း,167101,8,1:20888,28,1:5968,9,1:18567
MMR017,Ayeyarwady,ဧရာဝတီတိုင်းဒေသကြီး,MMR017008,Hinthada,ဟင်္သာတ,344145,67,,194,1:5136,8,1:1774
MMR017,Ayeyarwady,ဧရာဝတီတိုင်းဒေသကြီး,MMR017009,Zalun,ဇလွန်,166888,9,1:18503,28,1:5947,7,1:23789
MMR017,Ayeyarwady,ဧရာဝတီတိုင်းဒေသကြီး,MMR017010,Lemyethna,လေးမျက်နှာ,108173,7,1:15453,16,1:6761,5,1:27043
MMR017,Ayeyarwady,ဧရာဝတီတိုင်းဒေသကြီး,MMR017011,Myanaung,မြန်အောင်,22403,10,1:22403,54,1:4148,10,1:22403
MMR017,Ayeyarwady,ဧရာဝတီတိုင်းဒေသကြီး,MMR017012,Kyangin,ကြံခင်း,97514,5,1:19502,25,1:3900,4,1:24378
MMR017,Ayeyarwady,ဧရာဝတီတိုင်းဒေသကြီး,MMR017013,Ingapu,အင်္ဂပူ,215327,8,1:216916,35,1:6152,7,1:30761
MMR017,Ayeyarwady,ဧရာဝတီတိုင်းဒေသကြီး,MMR017014,Myaungmya,မြောင်းမြ,298035,40,1:7450,79,1:3773,9,1:3512
MMR017,Ayeyarwady,ဧရာဝတီတိုင်းဒေသကြီး,MMR017015,Einme,အိမ္မဲ,205654,6,1:34623,23,1:9031,6,1:3462
MMR017,Ayeyarwady,ဧရာဝတီတိုင်းဒေသကြီး,MMR017016,Labutta,လပွတ္တာ,330478,22,1:15022,80,1:4031,14,1:23606
MMR017,Ayeyarwady,ဧရာဝတီတိုင်းဒေသကြီး,MMR017017,Wakema,ဝါးခယ်မ,302866,8,1:37858,27,1:11217,8,1:37858
MMR017,Ayeyarwady,ဧရာဝတီတိုင်းဒေသကြီး,MMR017018,Mawlamyinegyun,မော်လမြိုင်ကျွန်း,324813,21,1:14381,39,1:7743,15,1:20134
MMR017,Ayeyarwady,ဧရာဝတီတိုင်းဒေသကြီး,MMR017019,Maubin,မအူပင်,319450,50,1:6389,109,1:2930,14,1:22532
MMR017,Ayeyarwady,ဧရာဝတီတိုင်းဒေသကြီး,MMR017020,Pantanaw,ပန်းတနော်,268328,10,1:26967,30,1:8989,10,1:26967
MMR017,Ayeyarwady,ဧရာဝတီတိုင်းဒေသကြီး,MMR017021,Nyaungdon,ညောင်တုန်း,198110,10,1:19811,26,1:7620,8,1:24763
MMR017,Ayeyarwady,ဧရာဝတီတိုင်းဒေသကြီး,MMR017022,Danubyu,ဓနုဖြူ,189843,6,1:31640,29,1:6546,7,1:27120
MMR017,Ayeyarwady,ဧရာဝတီတိုင်းဒေသကြီး,MMR017023,Pyapon,ဖျာပုံ,301629,76,1:3969,84,1:3591,11,1:2743
MMR017,Ayeyarwady,ဧရာဝတီတိုင်းဒေသကြီး,MMR017024,Bogale,ဘိုကလေး,348860,19,1:18361,43,1:8113,10,1:34886
MMR017,Ayeyarwady,ဧရာဝတီတိုင်းဒေသကြီး,MMR017025,Kyaiklat,ကျိုက်လတ်,193726,6,1:32187,20,1:9656,4,1:48281
MMR017,Ayeyarwady,ဧရာဝတီတိုင်းဒေသကြီး,MMR017026,Dedaye,ဒေးဒရဲ,228485,7,1:29427,20,1:10299,11,1:18726
MMR018,Naypyitaw  Council,နေပြည်တော်,MMR018001,Zay Yar Thi Ri,ဇေယျာသီရိ,100265,9,1:11140,35,1:2864,3,1:33421
MMR018,Naypyitaw  Council,နေပြည်တော်,MMR018002,Za Bu Thi Ri,ဇမ္ဗူသီရိ,97681,8,1:12210,16,1:6150,3,1:32560
MMR018,Naypyitaw  Council,နေပြည်တော်,MMR018003,Tatkon,တပ်ကုန်း,115440,18,1:12357,42,1:5296,4,1:55608
MMR018,Naypyitaw  Council,နေပြည်တော်,MMR018004,Det Khi Na Thi Ri,ဒက္ခိဏသီရိ,29945,3,1:9981,10,1:2994,1,1:29945
MMR018,Naypyitaw  Council,နေပြည်တော်,MMR018005,Poke Ba Thi Ri,ပုဗ္ဗသီရိ,99887,20,1:5035,50,1:2014,4,1:25174
MMR018,Naypyitaw  Council,နေပြည်တော်,MMR018006,Pyinmana,ပျဉ်းမနား,183604,70,1:2623,108,1:1836,8,1:22951
MMR018,Naypyitaw  Council,နေပြည်တော်,MMR018007,Lewe,လယ်ဝေး,287879,22,1:13407,42,1:7023,10,1:29497
MMR018,Naypyitaw  Council,နေပြည်တော်,MMR018008,Oke Ta Ra Thi Ri,ဥတ္တရသီရိ,59656,5,1:13,14,1:46,2,1:33
